4K8K频道,#genre#

cctv1-4K,http://192.168.2.131:35455/rptv/G_CCTV-1-AVS-4K264.m3u8?license=gitv
cctv3-4K,http://192.168.2.131:35455/rptv/G_CCTV-3-AVS-4K264.m3u8?license=gitv
cctv5-4K,http://192.168.2.131:35455/rptv/G_CCTV-5-AVS-4K264.m3u8?license=gitv
cctv16-4K-SDR,http://192.168.2.131:35455/rptv/G_CCTV-16-4K.m3u8?license=gitv
北京纪实科教8K,https://gdcucc.v1.mk/gdcucc/brtv8k.m3u8
cctv8k_36m,http://192.168.2.131:35455/gaoma/cctv8k_36m.m3u8
CCTV-16-4K-HEVC,http://192.168.2.131:35455/itv/5000000008000023254.m3u8?cdn=bestzb
cctv164k_10m,http://192.168.2.131:35455/gaoma/cctv4k16_10m.m3u8
cctv164k,http://192.168.2.131:35455/gaoma/cctv4k16.m3u8
cctv4k-SDR,http://192.168.2.131:35455/rptv/G_CCTV-4K-HD.m3u8?license=gitv
cctv4k_10m,http://192.168.2.131:35455/gaoma/cctv4k_10m.m3u8
cctv4k,http://192.168.2.131:35455/gaoma/cctv4k.m3u8
华数-4K,http://192.168.2.131:35455/itv/6000000003000004748.m3u8?cdn=wasusyt
纯享-4K,http://192.168.2.131:35455/itv/1000000004000011651.m3u8?cdn=ystenlive
纯享4K-2,http://192.168.2.131:35455/rptv/HD-20M-2160P-chunxiang4k.m3u8?license=cntv
咪咕4K-1,http://192.168.2.131:35455/itv/3000000010000005180.m3u8?cdn=FifastbLive
咪咕4K-2,http://192.168.2.131:35455/itv/3000000010000015686.m3u8?cdn=FifastbLive
篮球4K,http://192.168.2.131:35455/rptv/miguaoyun01-AVS-4K01.m3u8?license=gitv
Love Nature 4K,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
Loupe 4K,https://d2dw21aq0j0l5c.cloudfront.net/playlist_3840x2160.m3u8
Fashion 4K,https://fash2043.cloudycdn.services/slive/ftv_ftv_4k_hevc_73d_42080_default_466_hls.smil/playlist.m3u8
SiTV-欢笑剧场-4K,http://192.168.2.131:35455/itv/5000000007000010001.m3u8?cdn=bestzb
纯享4K,http://192.168.2.131:50001/TVOD/1000000004000011651/ystenlive/index.m3u8$20M2160_易视腾
CCTV16 奥林匹克4K,http://192.168.2.131:50001/TVOD/5000000008000023254/bestzb/index.m3u8$12M2160HEVC_百视通
SiTV欢笑剧场4K,http://192.168.2.131:50001/TVOD/5000000007000010001/bestzb/index.m3u8$12M2160HEVC_百视通
